dataset,object,descriptor,category,distanceFunction,time,similarity
GoogleDataset,0000,3DSC,0-100,Cosine,4.529063544,0.5536330027371938
GoogleDataset,0000,3DSC,0-100,Euclidian,2.5011133,1.0
GoogleDataset,0000,FPFH,0-100,Cosine,0.125211296,1.0
GoogleDataset,0000,FPFH,0-100,Euclidian,0.092379151,1.0
GoogleDataset,0000,QUICCI,0-100,Cosine,0.139232948,1.0
GoogleDataset,0000,QUICCI,0-100,Euclidian,0.094695079,1.0
GoogleDataset,0000,RICI,0-100,Cosine,2.527632805,1.0
GoogleDataset,0000,RICI,0-100,Euclidian,1.427092396,1.0
GoogleDataset,0000,SI,0-100,Cosine,2.192753694,0.9999999999999999
GoogleDataset,0000,SI,0-100,Euclidian,1.372474722,0.9999650882914638
GoogleDataset,0001,3DSC,0-100,Cosine,3.655460279,0.3738095238095238
GoogleDataset,0001,3DSC,0-100,Euclidian,2.036226222,1.0
GoogleDataset,0001,FPFH,0-100,Cosine,0.102000584,1.0
GoogleDataset,0001,FPFH,0-100,Euclidian,0.075976646,1.0
GoogleDataset,0001,QUICCI,0-100,Cosine,0.112547428,1.0
GoogleDataset,0001,QUICCI,0-100,Euclidian,0.07700868,1.0
GoogleDataset,0001,RICI,0-100,Cosine,2.062285075,1.0
GoogleDataset,0001,RICI,0-100,Euclidian,1.165279912,1.0
GoogleDataset,0001,SI,0-100,Cosine,1.785234971,0.9999999999999999
GoogleDataset,0001,SI,0-100,Euclidian,1.12153141,0.9999545571896695
GoogleDataset,0002,3DSC,0-100,Cosine,5.280630813,0.5394663910236244
GoogleDataset,0002,3DSC,0-100,Euclidian,2.940722578,1.0
GoogleDataset,0002,FPFH,0-100,Cosine,0.147236764,1.0
GoogleDataset,0002,FPFH,0-100,Euclidian,0.107349297,1.0
GoogleDataset,0002,QUICCI,0-100,Cosine,0.16036259,1.0
GoogleDataset,0002,QUICCI,0-100,Euclidian,0.109854051,1.0
GoogleDataset,0002,RICI,0-100,Cosine,2.977569117,1.0
GoogleDataset,0002,RICI,0-100,Euclidian,1.678570641,1.0
GoogleDataset,0002,SI,0-100,Cosine,2.575656804,0.9999999999999998
GoogleDataset,0002,SI,0-100,Euclidian,1.615638907,0.9999513052604961
