dataset,object,descriptor,category,time
OverlappingObjects,0000,3DSC,15.1-25.0,0.60156407
OverlappingObjects,0000,FPFH,15.1-25.0,2.424351131
OverlappingObjects,0000,QUICCI,15.1-25.0,0.057030257
OverlappingObjects,0000,RICI,15.1-25.0,0.057141677
OverlappingObjects,0000,SI,15.1-25.0,0.163438201
OverlappingObjects,0001,3DSC,15.1-25.0,0.379110484
OverlappingObjects,0001,FPFH,15.1-25.0,2.000352786
OverlappingObjects,0001,QUICCI,15.1-25.0,0.033553483
OverlappingObjects,0001,RICI,15.1-25.0,0.032358134
OverlappingObjects,0001,SI,15.1-25.0,0.088439473
OverlappingObjects,0002,3DSC,15.1-25.0,0.575153169
OverlappingObjects,0002,FPFH,15.1-25.0,2.432120002
OverlappingObjects,0002,QUICCI,15.1-25.0,0.059759454
OverlappingObjects,0002,RICI,15.1-25.0,0.059144535
OverlappingObjects,0002,SI,15.1-25.0,0.204915265
OverlappingObjects,0003,3DSC,15.1-25.0,0.601260351
OverlappingObjects,0003,FPFH,15.1-25.0,2.428868696
OverlappingObjects,0003,QUICCI,15.1-25.0,0.060874463
OverlappingObjects,0003,RICI,15.1-25.0,0.059630455
OverlappingObjects,0003,SI,15.1-25.0,0.193355598
OverlappingObjects,0004,3DSC,15.1-25.0,0.594054538
OverlappingObjects,0004,FPFH,15.1-25.0,2.337637886
OverlappingObjects,0004,QUICCI,15.1-25.0,0.050188815
OverlappingObjects,0004,RICI,15.1-25.0,0.049004246
OverlappingObjects,0004,SI,15.1-25.0,0.18269995
OverlappingObjects,0005,3DSC,15.1-25.0,0.506561014
OverlappingObjects,0005,FPFH,15.1-25.0,2.333487581
OverlappingObjects,0005,QUICCI,15.1-25.0,0.049072056
OverlappingObjects,0005,RICI,15.1-25.0,0.048185787
OverlappingObjects,0005,SI,15.1-25.0,0.183170499
OverlappingObjects,0006,3DSC,15.1-25.0,0.375382338
OverlappingObjects,0006,FPFH,15.1-25.0,1.569021809
OverlappingObjects,0006,QUICCI,15.1-25.0,0.011301758
OverlappingObjects,0006,RICI,15.1-25.0,0.010899898
OverlappingObjects,0006,SI,15.1-25.0,0.076768765
OverlappingObjects,0007,3DSC,15.1-25.0,0.308878051
OverlappingObjects,0007,FPFH,15.1-25.0,1.560198549
OverlappingObjects,0007,QUICCI,15.1-25.0,0.012253387
OverlappingObjects,0007,RICI,15.1-25.0,0.011808617
OverlappingObjects,0007,SI,15.1-25.0,0.064195959
OverlappingObjects,0008,3DSC,15.1-25.0,0.440804816
OverlappingObjects,0008,FPFH,15.1-25.0,1.458101141
OverlappingObjects,0008,QUICCI,15.1-25.0,0.008447791
OverlappingObjects,0008,RICI,15.1-25.0,0.008023631
OverlappingObjects,0008,SI,15.1-25.0,0.057280577
OverlappingObjects,0009,3DSC,15.1-25.0,0.547471959
OverlappingObjects,0009,FPFH,15.1-25.0,2.974485118
OverlappingObjects,0009,QUICCI,15.1-25.0,0.106601833
OverlappingObjects,0009,RICI,15.1-25.0,0.105422975
OverlappingObjects,0009,SI,15.1-25.0,0.18200832
OverlappingObjects,0010,3DSC,15.1-25.0,0.604738396
OverlappingObjects,0010,FPFH,15.1-25.0,2.647421597
OverlappingObjects,0010,QUICCI,15.1-25.0,0.079323943
OverlappingObjects,0010,RICI,15.1-25.0,0.078208574
OverlappingObjects,0010,SI,15.1-25.0,0.212778307
OverlappingObjects,0011,3DSC,15.1-25.0,0.436649122
OverlappingObjects,0011,FPFH,15.1-25.0,1.461188608
OverlappingObjects,0011,QUICCI,15.1-25.0,0.00972255
OverlappingObjects,0011,RICI,15.1-25.0,0.0093679
OverlappingObjects,0011,SI,15.1-25.0,0.07335913
OverlappingObjects,0012,3DSC,15.1-25.0,0.39179459
OverlappingObjects,0012,FPFH,15.1-25.0,1.133565557
OverlappingObjects,0012,QUICCI,15.1-25.0,0.002514787
OverlappingObjects,0012,RICI,15.1-25.0,0.002290417
OverlappingObjects,0012,SI,15.1-25.0,0.033595083
OverlappingObjects,0013,3DSC,15.1-25.0,0.407200813
OverlappingObjects,0013,FPFH,15.1-25.0,1.782485625
OverlappingObjects,0013,QUICCI,15.1-25.0,0.020987867
OverlappingObjects,0013,RICI,15.1-25.0,0.020414418
OverlappingObjects,0013,SI,15.1-25.0,0.115040674
OverlappingObjects,0014,3DSC,15.1-25.0,0.534819773
OverlappingObjects,0014,FPFH,15.1-25.0,2.329552055
OverlappingObjects,0014,QUICCI,15.1-25.0,0.051883164
OverlappingObjects,0014,RICI,15.1-25.0,0.050760054
OverlappingObjects,0014,SI,15.1-25.0,0.192273309
OverlappingObjects,0015,3DSC,15.1-25.0,0.476770657
OverlappingObjects,0015,FPFH,15.1-25.0,1.674993653
OverlappingObjects,0015,QUICCI,15.1-25.0,0.016393752
OverlappingObjects,0015,RICI,15.1-25.0,0.015726202
OverlappingObjects,0015,SI,15.1-25.0,0.096453304
OverlappingObjects,0016,3DSC,15.1-25.0,0.221234817
OverlappingObjects,0016,FPFH,15.1-25.0,1.025756855
OverlappingObjects,0016,QUICCI,15.1-25.0,0.001326549
OverlappingObjects,0016,RICI,15.1-25.0,0.001246089
OverlappingObjects,0016,SI,15.1-25.0,0.020787098
OverlappingObjects,0017,3DSC,15.1-25.0,0.761804175
OverlappingObjects,0017,FPFH,15.1-25.0,3.539139378
OverlappingObjects,0017,QUICCI,15.1-25.0,0.170060314
OverlappingObjects,0017,RICI,15.1-25.0,0.167487556
OverlappingObjects,0017,SI,15.1-25.0,0.260442925
OverlappingObjects,0018,3DSC,15.1-25.0,0.43775699
OverlappingObjects,0018,FPFH,15.1-25.0,1.348208661
OverlappingObjects,0018,QUICCI,15.1-25.0,0.005998684
OverlappingObjects,0018,RICI,15.1-25.0,0.005764803
OverlappingObjects,0018,SI,15.1-25.0,0.055457059
OverlappingObjects,0019,3DSC,15.1-25.0,0.700725532
OverlappingObjects,0019,FPFH,15.1-25.0,3.193791377
OverlappingObjects,0019,QUICCI,15.1-25.0,0.130584997
OverlappingObjects,0019,RICI,15.1-25.0,0.129157358
OverlappingObjects,0019,SI,15.1-25.0,0.246897299
OverlappingObjects,0020,3DSC,15.1-25.0,0.577855376
OverlappingObjects,0020,FPFH,15.1-25.0,2.213726932
OverlappingObjects,0020,QUICCI,15.1-25.0,0.042250564
OverlappingObjects,0020,RICI,15.1-25.0,0.041291325
OverlappingObjects,0020,SI,15.1-25.0,0.151530954
OverlappingObjects,0021,3DSC,15.1-25.0,0.284701467
OverlappingObjects,0021,FPFH,15.1-25.0,1.788813488
