dataset,object,descriptor,category,time
RandomVertexDisplacedObjectsDataset,0000,3DSC,0.0001,1.521618581
RandomVertexDisplacedObjectsDataset,0000,FPFH,0.0001,7.069887196
RandomVertexDisplacedObjectsDataset,0000,QUICCI,0.0001,0.197449894
RandomVertexDisplacedObjectsDataset,0000,RICI,0.0001,0.164080271
RandomVertexDisplacedObjectsDataset,0000,SI,0.0001,0.524349965
RandomVertexDisplacedObjectsDataset,0001,3DSC,0.0001,2.455621497
RandomVertexDisplacedObjectsDataset,0001,FPFH,0.0001,5.692315787
RandomVertexDisplacedObjectsDataset,0001,QUICCI,0.0001,0.137857858
RandomVertexDisplacedObjectsDataset,0001,RICI,0.0001,0.136174701
RandomVertexDisplacedObjectsDataset,0001,SI,0.0001,0.378913254
RandomVertexDisplacedObjectsDataset,0002,3DSC,0.0001,0.717915473
RandomVertexDisplacedObjectsDataset,0002,FPFH,0.0001,7.766692412
RandomVertexDisplacedObjectsDataset,0002,QUICCI,0.0001,0.113130916
RandomVertexDisplacedObjectsDataset,0002,RICI,0.0001,0.188098984
RandomVertexDisplacedObjectsDataset,0002,SI,0.0001,0.252721372
RandomVertexDisplacedObjectsDataset,0003,3DSC,0.0001,1.335967275
RandomVertexDisplacedObjectsDataset,0003,FPFH,0.0001,6.808798722
RandomVertexDisplacedObjectsDataset,0003,QUICCI,0.0001,0.120079288
RandomVertexDisplacedObjectsDataset,0003,RICI,0.0001,0.1095877
RandomVertexDisplacedObjectsDataset,0003,SI,0.0001,0.417642182
RandomVertexDisplacedObjectsDataset,0004,3DSC,0.0001,0.417318233
RandomVertexDisplacedObjectsDataset,0004,FPFH,0.0001,1.658335161
RandomVertexDisplacedObjectsDataset,0004,QUICCI,0.0001,0.012462296
RandomVertexDisplacedObjectsDataset,0004,RICI,0.0001,0.012259977
RandomVertexDisplacedObjectsDataset,0004,SI,0.0001,0.110151529
RandomVertexDisplacedObjectsDataset,0005,3DSC,0.0001,1.234067196
RandomVertexDisplacedObjectsDataset,0005,FPFH,0.0001,1.637151885
RandomVertexDisplacedObjectsDataset,0005,QUICCI,0.0001,0.021367137
RandomVertexDisplacedObjectsDataset,0005,RICI,0.0001,0.020911467
RandomVertexDisplacedObjectsDataset,0005,SI,0.0001,0.173378699
RandomVertexDisplacedObjectsDataset,0006,3DSC,0.0001,1.643090388
RandomVertexDisplacedObjectsDataset,0006,FPFH,0.0001,1.796815969
RandomVertexDisplacedObjectsDataset,0006,QUICCI,0.0001,0.01839212
RandomVertexDisplacedObjectsDataset,0006,RICI,0.0001,0.01821231
RandomVertexDisplacedObjectsDataset,0006,SI,0.0001,0.034651902
RandomVertexDisplacedObjectsDataset,0007,3DSC,0.0001,1.266686241
RandomVertexDisplacedObjectsDataset,0007,FPFH,0.0001,3.46449318
RandomVertexDisplacedObjectsDataset,0007,QUICCI,0.0001,0.057402297
RandomVertexDisplacedObjectsDataset,0007,RICI,0.0001,0.057543017
RandomVertexDisplacedObjectsDataset,0007,SI,0.0001,0.225176973
