dataset,object,descriptor,category,time
RippledObjectsDataset,0000,3DSC,0.005,0.579356675
RippledObjectsDataset,0000,FPFH,0.005,3.765132091
RippledObjectsDataset,0000,QUICCI,0.005,0.057008927
RippledObjectsDataset,0000,RICI,0.005,0.056321678
RippledObjectsDataset,0000,SI,0.005,0.198250343
RippledObjectsDataset,0001,3DSC,0.005,2.452148121
RippledObjectsDataset,0001,FPFH,0.005,4.629301803
RippledObjectsDataset,0001,QUICCI,0.005,0.146642189
RippledObjectsDataset,0001,RICI,0.005,0.149951526
RippledObjectsDataset,0001,SI,0.005,0.436677471
RippledObjectsDataset,0002,3DSC,0.005,0.651818665
RippledObjectsDataset,0002,FPFH,0.005,3.588596894
RippledObjectsDataset,0002,QUICCI,0.005,0.080876311
RippledObjectsDataset,0002,RICI,0.005,0.081211831
RippledObjectsDataset,0002,SI,0.005,0.260955663
RippledObjectsDataset,0003,3DSC,0.005,2.482236638
RippledObjectsDataset,0003,FPFH,0.005,7.57711473
RippledObjectsDataset,0003,QUICCI,0.005,0.050481405
RippledObjectsDataset,0003,RICI,0.005,0.116279143
RippledObjectsDataset,0003,SI,0.005,0.426105292
RippledObjectsDataset,0004,3DSC,0.005,1.437473513
RippledObjectsDataset,0004,FPFH,0.005,1.32188026
RippledObjectsDataset,0004,QUICCI,0.005,0.022918075
RippledObjectsDataset,0004,RICI,0.005,0.012788906
RippledObjectsDataset,0004,SI,0.005,0.180278882
RippledObjectsDataset,0005,3DSC,0.005,1.718888384
RippledObjectsDataset,0005,FPFH,0.005,3.787357076
RippledObjectsDataset,0005,QUICCI,0.005,0.022301616
RippledObjectsDataset,0005,RICI,0.005,0.021412956
RippledObjectsDataset,0005,SI,0.005,0.190897581
RippledObjectsDataset,0006,3DSC,0.005,1.647967913
RippledObjectsDataset,0006,FPFH,0.005,2.795208065
RippledObjectsDataset,0006,QUICCI,0.005,0.01835816
RippledObjectsDataset,0006,RICI,0.005,0.01824364
RippledObjectsDataset,0006,SI,0.005,0.033207513
RippledObjectsDataset,0007,3DSC,0.005,1.518136425
RippledObjectsDataset,0007,FPFH,0.005,4.327687394
RippledObjectsDataset,0007,QUICCI,0.005,0.062293502
RippledObjectsDataset,0007,RICI,0.005,0.055521649
RippledObjectsDataset,0007,SI,0.005,0.232532615
RippledObjectsDataset,0008,3DSC,0.005,1.851486759
RippledObjectsDataset,0008,FPFH,0.005,4.079051926
RippledObjectsDataset,0008,QUICCI,0.005,0.022567355
RippledObjectsDataset,0008,RICI,0.005,0.007190512
RippledObjectsDataset,0008,SI,0.005,0.157396107
RippledObjectsDataset,0009,3DSC,0.005,0.591328521
RippledObjectsDataset,0009,FPFH,0.005,8.190863367
RippledObjectsDataset,0009,QUICCI,0.005,0.07323442
RippledObjectsDataset,0009,RICI,0.005,0.074584348
RippledObjectsDataset,0009,SI,0.005,0.21931467
RippledObjectsDataset,0010,3DSC,0.005,0.794563219
RippledObjectsDataset,0010,FPFH,0.005,2.647703176
RippledObjectsDataset,0010,QUICCI,0.005,0.250686155
RippledObjectsDataset,0010,RICI,0.005,0.243891712
RippledObjectsDataset,0010,SI,0.005,0.443857493
RippledObjectsDataset,0011,3DSC,0.005,0.671307204
RippledObjectsDataset,0011,FPFH,0.005,3.732701826
RippledObjectsDataset,0011,QUICCI,0.005,0.015568673
RippledObjectsDataset,0011,RICI,0.005,0.013898495
RippledObjectsDataset,0011,SI,0.005,0.06437912
RippledObjectsDataset,0012,3DSC,0.005,1.661831777
RippledObjectsDataset,0012,FPFH,0.005,1.436933934
RippledObjectsDataset,0012,QUICCI,0.005,0.015019243
RippledObjectsDataset,0012,RICI,0.005,0.015060584
RippledObjectsDataset,0012,SI,0.005,0.179809863
RippledObjectsDataset,0013,3DSC,0.005,0.413228647
RippledObjectsDataset,0013,FPFH,0.005,3.743466064
RippledObjectsDataset,0013,QUICCI,0.005,0.003797526
RippledObjectsDataset,0013,RICI,0.005,0.003632966
RippledObjectsDataset,0013,SI,0.005,0.043294553
RippledObjectsDataset,0014,3DSC,0.005,0.457896188
RippledObjectsDataset,0014,FPFH,0.005,4.76858812
RippledObjectsDataset,0014,QUICCI,0.005,0.012923436
RippledObjectsDataset,0014,RICI,0.005,0.012365986
RippledObjectsDataset,0014,SI,0.005,0.094352257
RippledObjectsDataset,0015,3DSC,0.005,2.056448185
RippledObjectsDataset,0015,FPFH,0.005,3.932489367
RippledObjectsDataset,0015,QUICCI,0.005,0.025644812
RippledObjectsDataset,0015,RICI,0.005,0.026158261
RippledObjectsDataset,0015,SI,0.005,0.206474964
RippledObjectsDataset,0016,3DSC,0.005,1.715701018
RippledObjectsDataset,0016,FPFH,0.005,1.429160553
RippledObjectsDataset,0016,QUICCI,0.005,0.009994789
RippledObjectsDataset,0016,RICI,0.005,0.00984088
RippledObjectsDataset,0016,SI,0.005,0.051945003
RippledObjectsDataset,0017,3DSC,0.005,0.376341087
RippledObjectsDataset,0017,FPFH,0.005,1.167089
RippledObjectsDataset,0017,QUICCI,0.005,0.003883496
RippledObjectsDataset,0017,RICI,0.005,0.011766827
RippledObjectsDataset,0017,SI,0.005,0.047794247
RippledObjectsDataset,0018,3DSC,0.005,0.484464309
RippledObjectsDataset,0018,FPFH,0.005,1.104316979
RippledObjectsDataset,0018,QUICCI,0.005,0.001167758
RippledObjectsDataset,0018,RICI,0.005,0.001084788
RippledObjectsDataset,0018,SI,0.005,0.030028977
RippledObjectsDataset,0019,3DSC,0.005,1.503062171
RippledObjectsDataset,0019,FPFH,0.005,4.336379934
RippledObjectsDataset,0019,QUICCI,0.005,0.112696017
