dataset,object,descriptor,category,distanceFunction,similarity,time
OverlappingObjects,0000,SI,15.1-25.0,Cosine,0.677670,0.002115
OverlappingObjects,0000,SI,15.1-25.0,Pearson,0.674621,0.000604
OverlappingObjects,0001,SI,15.1-25.0,Cosine,0.524459,0.002615
OverlappingObjects,0001,SI,15.1-25.0,Pearson,0.518789,0.000555
OverlappingObjects,0002,SI,15.1-25.0,Cosine,0.754158,0.002357
OverlappingObjects,0002,SI,15.1-25.0,Pearson,0.752093,0.000745
OverlappingObjects,0003,SI,15.1-25.0,Cosine,0.724424,0.002112
OverlappingObjects,0003,SI,15.1-25.0,Pearson,0.721809,0.000623
OverlappingObjects,0004,SI,15.1-25.0,Cosine,0.567577,0.000612
OverlappingObjects,0004,SI,15.1-25.0,Pearson,0.565831,0.000377
OverlappingObjects,0005,SI,15.1-25.0,Cosine,0.570653,0.000789
OverlappingObjects,0005,SI,15.1-25.0,Pearson,0.568815,0.000310
OverlappingObjects,0006,SI,15.1-25.0,Cosine,0.589857,0.000291
OverlappingObjects,0006,SI,15.1-25.0,Pearson,0.586982,0.000181
OverlappingObjects,0007,SI,15.1-25.0,Cosine,0.424025,0.001511
OverlappingObjects,0007,SI,15.1-25.0,Pearson,0.418241,0.000401
OverlappingObjects,0008,SI,15.1-25.0,Cosine,0.558827,0.000912
OverlappingObjects,0008,SI,15.1-25.0,Pearson,0.555140,0.000333
OverlappingObjects,0009,SI,15.1-25.0,Cosine,0.414234,0.003174
OverlappingObjects,0009,SI,15.1-25.0,Pearson,0.406214,0.000740
OverlappingObjects,0010,SI,15.1-25.0,Cosine,0.744103,0.002288
OverlappingObjects,0010,SI,15.1-25.0,Pearson,0.741857,0.000639
OverlappingObjects,0011,SI,15.1-25.0,Cosine,0.578417,0.000678
OverlappingObjects,0011,SI,15.1-25.0,Pearson,0.574687,0.000248
OverlappingObjects,0012,SI,15.1-25.0,Cosine,0.466124,0.000592
OverlappingObjects,0012,SI,15.1-25.0,Pearson,0.463349,0.000251
OverlappingObjects,0013,SI,15.1-25.0,Cosine,0.396713,0.000752
OverlappingObjects,0013,SI,15.1-25.0,Pearson,0.392457,0.000253
OverlappingObjects,0014,SI,15.1-25.0,Cosine,0.720068,0.001030
OverlappingObjects,0014,SI,15.1-25.0,Pearson,0.718065,0.000392
OverlappingObjects,0015,SI,15.1-25.0,Cosine,0.537676,0.000672
OverlappingObjects,0015,SI,15.1-25.0,Pearson,0.535886,0.000259
OverlappingObjects,0016,SI,15.1-25.0,Cosine,0.367028,0.000423
OverlappingObjects,0016,SI,15.1-25.0,Pearson,0.361950,0.000200
OverlappingObjects,0017,SI,15.1-25.0,Cosine,0.402335,0.000603
OverlappingObjects,0017,SI,15.1-25.0,Pearson,0.397750,0.000238
OverlappingObjects,0018,SI,15.1-25.0,Cosine,0.506204,0.000390
OverlappingObjects,0018,SI,15.1-25.0,Pearson,0.503631,0.000202
OverlappingObjects,0019,SI,15.1-25.0,Cosine,0.619958,0.002256
OverlappingObjects,0019,SI,15.1-25.0,Pearson,0.615609,0.000595
OverlappingObjects,0020,SI,15.1-25.0,Cosine,0.699762,0.002153
OverlappingObjects,0020,SI,15.1-25.0,Pearson,0.696707,0.000584
OverlappingObjects,0021,SI,15.1-25.0,Cosine,0.396498,0.000374
OverlappingObjects,0021,SI,15.1-25.0,Pearson,0.387900,0.000179
OverlappingObjects,0022,SI,15.1-25.0,Cosine,0.580838,0.000555
OverlappingObjects,0022,SI,15.1-25.0,Pearson,0.578728,0.000258
OverlappingObjects,0023,SI,15.1-25.0,Cosine,0.720761,0.001148
OverlappingObjects,0023,SI,15.1-25.0,Pearson,0.719730,0.000417
OverlappingObjects,0024,SI,15.1-25.0,Cosine,0.707835,0.001396
OverlappingObjects,0024,SI,15.1-25.0,Pearson,0.705220,0.000446
OverlappingObjects,0025,SI,15.1-25.0,Cosine,0.629537,0.001179
OverlappingObjects,0025,SI,15.1-25.0,Pearson,0.625514,0.000376
OverlappingObjects,0026,SI,15.1-25.0,Cosine,0.519305,0.000275
OverlappingObjects,0026,SI,15.1-25.0,Pearson,0.515812,0.000191
OverlappingObjects,0027,SI,15.1-25.0,Cosine,0.377355,0.000232
OverlappingObjects,0027,SI,15.1-25.0,Pearson,0.369064,0.000051
OverlappingObjects,0028,SI,15.1-25.0,Cosine,0.469025,0.000500
OverlappingObjects,0028,SI,15.1-25.0,Pearson,0.462992,0.000232
OverlappingObjects,0029,SI,15.1-25.0,Cosine,0.675625,0.000525
OverlappingObjects,0029,SI,15.1-25.0,Pearson,0.674522,0.000271
OverlappingObjects,0030,SI,15.1-25.0,Cosine,0.576964,0.000367
OverlappingObjects,0030,SI,15.1-25.0,Pearson,0.574807,0.000204
OverlappingObjects,0031,SI,15.1-25.0,Cosine,0.416921,0.000490
OverlappingObjects,0031,SI,15.1-25.0,Pearson,0.412640,0.000218
OverlappingObjects,0032,SI,15.1-25.0,Cosine,0.627947,0.000696
OverlappingObjects,0032,SI,15.1-25.0,Pearson,0.623940,0.000254
OverlappingObjects,0033,SI,15.1-25.0,Cosine,0.531596,0.000596
OverlappingObjects,0033,SI,15.1-25.0,Pearson,0.529579,0.000250
OverlappingObjects,0034,SI,15.1-25.0,Cosine,0.603574,0.000725
OverlappingObjects,0034,SI,15.1-25.0,Pearson,0.601913,0.000284
OverlappingObjects,0035,SI,15.1-25.0,Cosine,0.558395,0.000340
OverlappingObjects,0035,SI,15.1-25.0,Pearson,0.555636,0.000199
