dataset,object,descriptor,category,distanceFunction,similarity
OverlappingObjects,0000,SI,15.1-25.0,Cosine,0.677711
OverlappingObjects,0000,SI,15.1-25.0,Pearson,0.606003
OverlappingObjects,0001,SI,15.1-25.0,Cosine,0.524511
OverlappingObjects,0001,SI,15.1-25.0,Pearson,0.666938
OverlappingObjects,0002,SI,15.1-25.0,Cosine,0.754190
OverlappingObjects,0002,SI,15.1-25.0,Pearson,0.576973
OverlappingObjects,0003,SI,15.1-25.0,Cosine,0.724465
OverlappingObjects,0003,SI,15.1-25.0,Pearson,0.587144
OverlappingObjects,0004,SI,15.1-25.0,Cosine,0.567782
OverlappingObjects,0004,SI,15.1-25.0,Pearson,0.652568
OverlappingObjects,0005,SI,15.1-25.0,Cosine,0.570794
OverlappingObjects,0005,SI,15.1-25.0,Pearson,0.646600
OverlappingObjects,0006,SI,15.1-25.0,Cosine,0.590794
OverlappingObjects,0006,SI,15.1-25.0,Pearson,0.645467
OverlappingObjects,0007,SI,15.1-25.0,Cosine,0.424124
OverlappingObjects,0007,SI,15.1-25.0,Pearson,0.728800
OverlappingObjects,0008,SI,15.1-25.0,Cosine,0.558957
OverlappingObjects,0008,SI,15.1-25.0,Pearson,0.657188
OverlappingObjects,0009,SI,15.1-25.0,Cosine,0.414277
OverlappingObjects,0009,SI,15.1-25.0,Pearson,0.721892
OverlappingObjects,0010,SI,15.1-25.0,Cosine,0.744140
OverlappingObjects,0010,SI,15.1-25.0,Pearson,0.580468
OverlappingObjects,0011,SI,15.1-25.0,Cosine,0.578619
OverlappingObjects,0011,SI,15.1-25.0,Pearson,0.646693
OverlappingObjects,0012,SI,15.1-25.0,Cosine,0.466349
OverlappingObjects,0012,SI,15.1-25.0,Pearson,0.700471
OverlappingObjects,0013,SI,15.1-25.0,Cosine,0.396904
OverlappingObjects,0013,SI,15.1-25.0,Pearson,0.727753
OverlappingObjects,0014,SI,15.1-25.0,Cosine,0.720157
OverlappingObjects,0014,SI,15.1-25.0,Pearson,0.589605
OverlappingObjects,0015,SI,15.1-25.0,Cosine,0.537846
OverlappingObjects,0015,SI,15.1-25.0,Pearson,0.660741
OverlappingObjects,0016,SI,15.1-25.0,Cosine,0.367545
OverlappingObjects,0016,SI,15.1-25.0,Pearson,0.752133
OverlappingObjects,0017,SI,15.1-25.0,Cosine,0.402607
OverlappingObjects,0017,SI,15.1-25.0,Pearson,0.722850
OverlappingObjects,0018,SI,15.1-25.0,Cosine,0.506604
OverlappingObjects,0018,SI,15.1-25.0,Pearson,0.681673
OverlappingObjects,0019,SI,15.1-25.0,Cosine,0.620005
OverlappingObjects,0019,SI,15.1-25.0,Pearson,0.628675
OverlappingObjects,0020,SI,15.1-25.0,Cosine,0.699803
OverlappingObjects,0020,SI,15.1-25.0,Pearson,0.597214
OverlappingObjects,0021,SI,15.1-25.0,Cosine,0.397499
OverlappingObjects,0021,SI,15.1-25.0,Pearson,0.731151
OverlappingObjects,0022,SI,15.1-25.0,Cosine,0.581084
OverlappingObjects,0022,SI,15.1-25.0,Pearson,0.644872
OverlappingObjects,0023,SI,15.1-25.0,Cosine,0.720829
OverlappingObjects,0023,SI,15.1-25.0,Pearson,0.592225
OverlappingObjects,0024,SI,15.1-25.0,Cosine,0.707900
OverlappingObjects,0024,SI,15.1-25.0,Pearson,0.595697
OverlappingObjects,0025,SI,15.1-25.0,Cosine,0.629637
OverlappingObjects,0025,SI,15.1-25.0,Pearson,0.626143
OverlappingObjects,0026,SI,15.1-25.0,Cosine,0.520401
OverlappingObjects,0026,SI,15.1-25.0,Pearson,0.686444
OverlappingObjects,0027,SI,15.1-25.0,Cosine,0.379020
OverlappingObjects,0027,SI,15.1-25.0,Pearson,0.742953
OverlappingObjects,0028,SI,15.1-25.0,Cosine,0.469450
OverlappingObjects,0028,SI,15.1-25.0,Pearson,0.696510
OverlappingObjects,0029,SI,15.1-25.0,Cosine,0.675836
OverlappingObjects,0029,SI,15.1-25.0,Pearson,0.613490
OverlappingObjects,0030,SI,15.1-25.0,Cosine,0.577460
OverlappingObjects,0030,SI,15.1-25.0,Pearson,0.647766
OverlappingObjects,0031,SI,15.1-25.0,Cosine,0.417299
OverlappingObjects,0031,SI,15.1-25.0,Pearson,0.726430
OverlappingObjects,0032,SI,15.1-25.0,Cosine,0.628128
OverlappingObjects,0032,SI,15.1-25.0,Pearson,0.624467
OverlappingObjects,0033,SI,15.1-25.0,Cosine,0.531799
OverlappingObjects,0033,SI,15.1-25.0,Pearson,0.672977
OverlappingObjects,0034,SI,15.1-25.0,Cosine,0.603727
OverlappingObjects,0034,SI,15.1-25.0,Pearson,0.636866
OverlappingObjects,0035,SI,15.1-25.0,Cosine,0.558951
OverlappingObjects,0035,SI,15.1-25.0,Pearson,0.654178
OverlappingObjects,0036,SI,15.1-25.0,Cosine,0.535294
OverlappingObjects,0036,SI,15.1-25.0,Pearson,0.669056
OverlappingObjects,0037,SI,15.1-25.0,Cosine,0.601781
OverlappingObjects,0037,SI,15.1-25.0,Pearson,0.638983
OverlappingObjects,0038,SI,15.1-25.0,Cosine,0.555129
OverlappingObjects,0038,SI,15.1-25.0,Pearson,0.661697
OverlappingObjects,0039,SI,15.1-25.0,Cosine,0.539029
OverlappingObjects,0039,SI,15.1-25.0,Pearson,0.664770
OverlappingObjects,0040,SI,15.1-25.0,Cosine,0.669613
OverlappingObjects,0040,SI,15.1-25.0,Pearson,0.609159
OverlappingObjects,0041,SI,15.1-25.0,Cosine,0.711208
OverlappingObjects,0041,SI,15.1-25.0,Pearson,0.595207
OverlappingObjects,0042,SI,15.1-25.0,Cosine,0.726147
OverlappingObjects,0042,SI,15.1-25.0,Pearson,0.587460
OverlappingObjects,0043,SI,15.1-25.0,Cosine,0.746266
OverlappingObjects,0043,SI,15.1-25.0,Pearson,0.580786
OverlappingObjects,0044,SI,15.1-25.0,Cosine,0.710219
OverlappingObjects,0044,SI,15.1-25.0,Pearson,0.593339
OverlappingObjects,0045,SI,15.1-25.0,Cosine,0.711343
OverlappingObjects,0045,SI,15.1-25.0,Pearson,0.593103
OverlappingObjects,0046,SI,15.1-25.0,Cosine,0.694494
OverlappingObjects,0046,SI,15.1-25.0,Pearson,0.602409
OverlappingObjects,0047,SI,15.1-25.0,Cosine,0.677657
OverlappingObjects,0047,SI,15.1-25.0,Pearson,0.606820
OverlappingObjects,0048,SI,15.1-25.0,Cosine,0.722114
OverlappingObjects,0048,SI,15.1-25.0,Pearson,0.591551
OverlappingObjects,0049,SI,15.1-25.0,Cosine,0.457193
OverlappingObjects,0049,SI,15.1-25.0,Pearson,0.698375
OverlappingObjects,0050,SI,15.1-25.0,Cosine,0.573827
OverlappingObjects,0050,SI,15.1-25.0,Pearson,0.651789
OverlappingObjects,0051,SI,15.1-25.0,Cosine,0.640007
OverlappingObjects,0051,SI,15.1-25.0,Pearson,0.627164
OverlappingObjects,0052,SI,15.1-25.0,Cosine,0.544540
OverlappingObjects,0052,SI,15.1-25.0,Pearson,0.658912
OverlappingObjects,0053,SI,15.1-25.0,Cosine,0.643536
OverlappingObjects,0053,SI,15.1-25.0,Pearson,0.617934
OverlappingObjects,0054,SI,15.1-25.0,Cosine,0.252718
OverlappingObjects,0054,SI,15.1-25.0,Pearson,0.819363
OverlappingObjects,0055,SI,15.1-25.0,Cosine,0.502032
OverlappingObjects,0055,SI,15.1-25.0,Pearson,0.679761
OverlappingObjects,0056,SI,15.1-25.0,Cosine,0.516625
OverlappingObjects,0056,SI,15.1-25.0,Pearson,0.674609
OverlappingObjects,0057,SI,15.1-25.0,Cosine,0.422460
OverlappingObjects,0057,SI,15.1-25.0,Pearson,0.721593
OverlappingObjects,0058,SI,15.1-25.0,Cosine,0.478483
OverlappingObjects,0058,SI,15.1-25.0,Pearson,0.693886
OverlappingObjects,0059,SI,15.1-25.0,Cosine,0.683914
OverlappingObjects,0059,SI,15.1-25.0,Pearson,0.609561
OverlappingObjects,0060,SI,15.1-25.0,Cosine,0.413518
OverlappingObjects,0060,SI,15.1-25.0,Pearson,0.722360
OverlappingObjects,0061,SI,15.1-25.0,Cosine,0.237820
OverlappingObjects,0061,SI,15.1-25.0,Pearson,0.824807
OverlappingObjects,0062,SI,15.1-25.0,Cosine,0.521433
OverlappingObjects,0062,SI,15.1-25.0,Pearson,0.667575
OverlappingObjects,0063,SI,15.1-25.0,Cosine,0.581223
OverlappingObjects,0063,SI,15.1-25.0,Pearson,0.642188
OverlappingObjects,0064,SI,15.1-25.0,Cosine,0.432270
OverlappingObjects,0064,SI,15.1-25.0,Pearson,0.722498
OverlappingObjects,0065,SI,15.1-25.0,Cosine,0.544276
OverlappingObjects,0065,SI,15.1-25.0,Pearson,0.670200
OverlappingObjects,0066,SI,15.1-25.0,Cosine,0.434271
OverlappingObjects,0066,SI,15.1-25.0,Pearson,0.720835
OverlappingObjects,0067,SI,15.1-25.0,Cosine,0.648077
OverlappingObjects,0067,SI,15.1-25.0,Pearson,0.619254
OverlappingObjects,0068,SI,15.1-25.0,Cosine,0.750111
OverlappingObjects,0068,SI,15.1-25.0,Pearson,0.580146
OverlappingObjects,0069,SI,15.1-25.0,Cosine,0.647703
OverlappingObjects,0069,SI,15.1-25.0,Pearson,0.619250
OverlappingObjects,0070,SI,15.1-25.0,Cosine,0.612469
OverlappingObjects,0070,SI,15.1-25.0,Pearson,0.636937
OverlappingObjects,0071,SI,15.1-25.0,Cosine,0.685578
OverlappingObjects,0071,SI,15.1-25.0,Pearson,0.609735
OverlappingObjects,0072,SI,15.1-25.0,Cosine,0.662879
OverlappingObjects,0072,SI,15.1-25.0,Pearson,0.612545
OverlappingObjects,0073,SI,15.1-25.0,Cosine,0.469769
OverlappingObjects,0073,SI,15.1-25.0,Pearson,0.696900
OverlappingObjects,0074,SI,15.1-25.0,Cosine,0.465213
OverlappingObjects,0074,SI,15.1-25.0,Pearson,0.698244
OverlappingObjects,0075,SI,15.1-25.0,Cosine,0.311505
OverlappingObjects,0075,SI,15.1-25.0,Pearson,0.784145
OverlappingObjects,0076,SI,15.1-25.0,Cosine,0.766055
OverlappingObjects,0076,SI,15.1-25.0,Pearson,0.572355
OverlappingObjects,0077,SI,15.1-25.0,Cosine,0.723146
OverlappingObjects,0077,SI,15.1-25.0,Pearson,0.589270
OverlappingObjects,0078,SI,15.1-25.0,Cosine,0.727061
