object,descriptor,supportRadius,similarity,tdOne,tdTwo,tSim
0000,RICI,0.050000,0.001769,0.391448,0.633967,0.469501
0000,RICI,0.100000,0.001496,0.386413,0.625111,0.490313
0000,RICI,0.500000,0.002441,0.374232,0.625290,0.427343
0000,RICI,1.000000,0.004785,0.396336,1.332164,0.387575
0000,RICI,1.500000,0.007112,0.823885,0.635652,0.584074
0000,RICI,2.000000,0.009425,0.390180,0.615614,0.376080
0000,RICI,5.000000,0.031806,0.390659,0.620680,0.374168
0000,RICI,10.000000,0.094981,0.389532,0.601797,0.364314
0000,RICI,50.000000,0.122952,0.361515,0.889264,0.359873
0000,QUICCI,0.050000,0.000000,0.371608,0.589476,0.211624
0000,QUICCI,0.100000,0.000000,0.373941,0.610575,0.213242
0000,QUICCI,0.500000,0.000000,0.377509,0.620427,0.211162
0000,QUICCI,1.000000,0.000000,0.396222,0.875466,0.214508
0000,QUICCI,1.500000,0.000000,0.451950,0.622752,0.217172
0000,QUICCI,2.000000,0.000000,0.382901,0.640642,0.216283
0000,QUICCI,5.000000,0.012077,0.403729,0.625099,0.348251
0000,QUICCI,10.000000,0.081192,0.384212,0.666406,0.292086
0000,QUICCI,50.000000,0.122952,0.383080,0.850579,0.208839
0000,SI,0.050000,0.002587,0.221276,0.228009,0.407639
0000,SI,0.100000,0.001131,0.229040,0.274356,0.411520
0000,SI,0.500000,0.000317,0.240730,0.321181,0.377978
0000,SI,1.000000,0.000246,0.233829,0.338617,0.364947
0000,SI,1.500000,0.000214,0.313186,0.420886,0.361286
0000,SI,2.000000,0.000199,0.229176,0.366671,0.357850
0000,SI,5.000000,0.000166,0.258105,0.419160,0.353365
0000,SI,10.000000,0.000153,0.248234,0.426827,0.346165
0000,SI,50.000000,0.000138,0.396939,0.591988,0.352973
0000,3DSC,0.050000,0.005028,0.819324,0.459813,9.952507
0000,3DSC,0.100000,0.003488,1.235496,0.603016,9.359764
0000,3DSC,0.500000,0.122952,0.481923,0.434576,6.150963
0000,3DSC,1.000000,0.122952,0.470734,0.400668,6.213535
0000,3DSC,1.500000,0.122952,0.474466,0.382224,6.602756
0000,3DSC,2.000000,0.122952,0.485623,0.394554,6.243526
0000,3DSC,5.000000,0.122952,0.478691,0.373971,7.216027
0000,3DSC,10.000000,0.122952,0.460213,0.384444,6.179979
0000,3DSC,50.000000,0.122952,0.476702,0.372918,7.213803
0000,FPFH,0.050000,0.000335,8.751929,9.854290,0.212537
0000,FPFH,0.100000,0.000690,13.852146,11.619424,0.212148
0000,FPFH,0.500000,0.000442,23.426414,28.456307,0.208419
0000,FPFH,1.000000,0.000442,23.005678,28.849470,0.310276
0000,FPFH,1.500000,0.000442,23.166004,25.383817,0.214283
0000,FPFH,2.000000,0.000442,17.829595,24.711347,0.207833
0000,FPFH,5.000000,0.000442,15.255136,16.609888,0.205244
0000,FPFH,10.000000,0.000442,13.924112,15.065705,0.211108
0000,FPFH,50.000000,0.000442,11.721763,14.907593,0.210783
0001,RICI,0.050000,0.001882,0.242572,0.235017,0.396195
0001,RICI,0.100000,0.001655,0.246109,0.235297,0.402450
0001,RICI,0.500000,0.004333,0.258525,0.228909,0.313992
0001,RICI,1.000000,0.008516,0.243284,0.229518,0.292719
0001,RICI,1.500000,0.012689,0.243161,0.224086,0.300752
0001,RICI,2.000000,0.017623,0.245518,0.232516,0.474504
0001,RICI,5.000000,0.075056,0.292970,0.235361,0.448862
0001,RICI,10.000000,0.124364,0.250289,0.227723,0.299460
0001,RICI,50.000000,0.124364,0.240347,0.226419,0.300021
0001,QUICCI,0.050000,0.000000,0.246141,0.239784,0.173348
0001,QUICCI,0.100000,0.000000,0.251895,0.246815,0.172663
0001,QUICCI,0.500000,0.000000,0.247498,0.238621,0.176617
0001,QUICCI,1.000000,0.000000,0.259932,0.257808,0.169759
0001,QUICCI,1.500000,0.000076,0.249968,0.245519,0.167972
0001,QUICCI,2.000000,0.001881,0.245380,0.239352,0.168973
0001,QUICCI,5.000000,0.058197,0.252470,0.321989,0.168955
0001,QUICCI,10.000000,0.124364,0.272195,0.449961,0.168121
0001,QUICCI,50.000000,0.124364,0.250697,0.243989,0.167957
0001,SI,0.050000,0.001851,0.188360,0.172201,0.325648
0001,SI,0.100000,0.000767,0.182796,0.176957,0.333796
0001,SI,0.500000,0.000245,0.191030,0.203060,0.303387
0001,SI,1.000000,0.000199,0.191121,0.225969,0.285428
0001,SI,1.500000,0.000180,0.193559,0.227979,0.292384
0001,SI,2.000000,0.000170,0.187573,0.226204,0.289275
0001,SI,5.000000,0.000154,0.195143,0.244492,0.309613
0001,SI,10.000000,0.000146,0.410190,0.506326,0.476645
0001,SI,50.000000,0.000128,0.412173,0.504505,0.356380
0001,3DSC,0.050000,0.005187,1.720539,1.124566,7.417403
0001,3DSC,0.100000,0.003642,1.899196,1.737217,7.733671
0001,3DSC,0.500000,0.124364,0.464343,0.360305,5.084085
0001,3DSC,1.000000,0.124364,0.457169,0.358102,5.611237
0001,3DSC,1.500000,0.124364,0.466210,0.357943,5.086595
0001,3DSC,2.000000,0.124364,0.457611,0.361117,5.075157
0001,3DSC,5.000000,0.124364,0.461511,0.358628,6.084595
0001,3DSC,10.000000,0.124364,0.463362,0.359210,5.254112
0001,3DSC,50.000000,0.124364,0.474103,0.368373,5.050996
0001,FPFH,0.050000,0.000509,7.914290,7.022086,0.174627
0001,FPFH,0.100000,0.001007,12.516651,10.611714,0.175425
0001,FPFH,0.500000,0.001004,19.857522,18.972764,0.172839
0001,FPFH,1.000000,0.001004,19.492310,19.149291,0.174839
0001,FPFH,1.500000,0.001004,19.372912,12.661472,0.171036
0001,FPFH,2.000000,0.001004,9.591695,9.316302,0.169439
0001,FPFH,5.000000,0.001004,9.449237,9.089042,0.173532
0001,FPFH,10.000000,0.001004,9.436056,9.291764,0.171548
0001,FPFH,50.000000,0.001004,9.473568,9.166089,0.171991
0002,RICI,0.050000,0.001712,0.511794,0.500513,0.568390
0002,RICI,0.100000,0.001728,0.512473,0.499464,0.587182
0002,RICI,0.500000,0.004748,0.528847,0.515399,0.711927
0002,RICI,1.000000,0.009351,0.512232,0.511545,0.444030
0002,RICI,1.500000,0.014298,0.529031,0.498877,0.439452
0002,RICI,2.000000,0.019691,0.506888,0.516167,0.433747
0002,RICI,5.000000,0.073845,0.532088,0.488445,0.430639
0002,RICI,10.000000,0.120077,0.521766,0.483533,0.430797
0002,RICI,50.000000,0.120077,0.535736,0.488299,0.429154
0002,QUICCI,0.050000,0.000000,0.551726,0.505917,0.250734
0002,QUICCI,0.100000,0.000000,0.517104,0.511440,0.249844
0002,QUICCI,0.500000,0.000000,0.517208,0.520144,0.247613
0002,QUICCI,1.000000,0.000000,0.552636,0.533423,0.249834
0002,QUICCI,1.500000,0.000067,0.522189,0.512807,0.362245
0002,QUICCI,2.000000,0.003019,0.546028,0.511395,0.306746
0002,QUICCI,5.000000,0.057301,0.519231,0.508646,0.243185
0002,QUICCI,10.000000,0.120077,0.530685,0.491410,0.248804
0002,QUICCI,50.000000,0.120077,0.516997,0.509163,0.241477
0002,SI,0.050000,0.001382,0.278471,0.254959,0.501520
0002,SI,0.100000,0.000584,0.269442,0.270775,0.504282
0002,SI,0.500000,0.000193,0.276314,0.275430,0.448586
0002,SI,1.000000,0.000158,0.284971,0.278993,0.427771
0002,SI,1.500000,0.000145,0.279351,0.272144,0.431324
0002,SI,2.000000,0.000137,0.275695,0.269076,0.423558
0002,SI,5.000000,0.000125,0.276164,0.267977,0.425006
0002,SI,10.000000,0.000123,0.276536,0.272797,0.428451
0002,SI,50.000000,0.000115,0.275948,0.271426,0.658958
0002,3DSC,0.050000,0.004719,1.067781,0.835122,10.083088
0002,3DSC,0.100000,0.003255,1.257799,1.251930,10.345532
0002,3DSC,0.500000,0.120077,0.265110,0.208110,7.226813
0002,3DSC,1.000000,0.120077,0.255386,0.211221,8.226736
0002,3DSC,1.500000,0.120077,0.258047,0.225272,7.312527
0002,3DSC,2.000000,0.120077,0.252543,0.224467,8.133118
0002,3DSC,5.000000,0.120077,0.267489,0.227267,7.264916
0002,3DSC,10.000000,0.120077,0.271782,0.223304,8.219043
0002,3DSC,50.000000,0.120077,0.256885,0.208671,7.202960
0002,FPFH,0.050000,0.000333,5.122431,4.982321,0.246789
0002,FPFH,0.100000,0.001048,8.310846,7.364676,0.254761
0002,FPFH,0.500000,0.001192,13.404970,13.232729,0.252257
0002,FPFH,1.000000,0.001192,13.195886,12.901601,0.428142
0002,FPFH,1.500000,0.001192,13.081530,13.024039,0.251023
0002,FPFH,2.000000,0.001192,12.909686,12.642174,0.250387
0002,FPFH,5.000000,0.001192,12.881291,12.617603,0.253383
0002,FPFH,10.000000,0.001192,13.192983,13.224892,0.250462
0002,FPFH,50.000000,0.001192,13.026807,12.716523,0.392924
0003,RICI,0.050000,0.001787,0.321745,0.245231,0.543284
0003,RICI,0.100000,0.001650,0.316399,0.247500,0.430134
0003,RICI,0.500000,0.003724,0.325657,0.245375,0.350208
0003,RICI,1.000000,0.007348,0.310721,0.240369,0.328435
0003,RICI,1.500000,0.011007,0.315355,0.237728,0.335403
0003,RICI,2.000000,0.014944,0.319082,0.233632,0.333010
0003,RICI,5.000000,0.057333,0.311691,0.237312,0.331795
0003,RICI,10.000000,0.112647,0.306077,0.240032,0.328708
0003,RICI,50.000000,0.112647,0.307675,0.233367,0.329022
0003,QUICCI,0.050000,0.000000,0.318583,0.250609,0.194918
0003,QUICCI,0.100000,0.000000,0.330192,0.247966,0.195352
0003,QUICCI,0.500000,0.000000,0.322188,0.251346,0.196721
0003,QUICCI,1.000000,0.000000,0.318831,0.247318,0.192762
0003,QUICCI,1.500000,0.000039,0.330513,0.242061,0.193073
0003,QUICCI,2.000000,0.000434,0.316177,0.244132,0.203108
0003,QUICCI,5.000000,0.041125,0.323520,0.246839,0.194764
0003,QUICCI,10.000000,0.112647,0.316984,0.247823,0.313831
