dataset,object,descriptor,category,time
TwistedObjectsDataset,0000,3DSC,10,3.722298528
TwistedObjectsDataset,0000,FPFH,10,10.374463602
TwistedObjectsDataset,0000,QUICCI,10,0.206130364
TwistedObjectsDataset,0000,RICI,10,0.144968831
TwistedObjectsDataset,0000,SI,10,0.718102922
TwistedObjectsDataset,0001,3DSC,10,1.551285239
TwistedObjectsDataset,0001,FPFH,10,4.689855077
TwistedObjectsDataset,0001,QUICCI,10,0.093148678
TwistedObjectsDataset,0001,RICI,10,0.037656459
TwistedObjectsDataset,0001,SI,10,0.332011225
TwistedObjectsDataset,0002,3DSC,10,1.93299356
TwistedObjectsDataset,0002,FPFH,10,5.792227837
TwistedObjectsDataset,0002,QUICCI,10,0.178142524
TwistedObjectsDataset,0002,RICI,10,0.185597917
TwistedObjectsDataset,0002,SI,10,0.350558315
TwistedObjectsDataset,0003,3DSC,10,1.928607245
TwistedObjectsDataset,0003,FPFH,10,5.757976185
TwistedObjectsDataset,0003,QUICCI,10,0.115247653
TwistedObjectsDataset,0003,RICI,10,0.111406318
TwistedObjectsDataset,0003,SI,10,0.289980532
TwistedObjectsDataset,0004,3DSC,10,1.161441116
TwistedObjectsDataset,0004,FPFH,10,3.846375972
TwistedObjectsDataset,0004,QUICCI,10,0.003306906
TwistedObjectsDataset,0004,RICI,10,0.003089766
TwistedObjectsDataset,0004,SI,10,0.052675392
TwistedObjectsDataset,0005,3DSC,10,1.868084721
TwistedObjectsDataset,0005,FPFH,10,3.801039422
TwistedObjectsDataset,0005,QUICCI,10,0.021582567
TwistedObjectsDataset,0005,RICI,10,0.031239265
TwistedObjectsDataset,0005,SI,10,0.196507975
TwistedObjectsDataset,0006,3DSC,10,0.404809496
TwistedObjectsDataset,0006,FPFH,10,0.916863835
TwistedObjectsDataset,0006,QUICCI,10,0.00032798
TwistedObjectsDataset,0006,RICI,10,0.000339939
TwistedObjectsDataset,0006,SI,10,0.010336059
TwistedObjectsDataset,0007,3DSC,10,0.968679388
TwistedObjectsDataset,0007,FPFH,10,2.933841582
TwistedObjectsDataset,0007,QUICCI,10,0.013448005
TwistedObjectsDataset,0007,RICI,10,0.031326366
TwistedObjectsDataset,0007,SI,10,0.132078635
TwistedObjectsDataset,0008,3DSC,10,2.208465738
TwistedObjectsDataset,0008,FPFH,10,2.420024116
TwistedObjectsDataset,0008,QUICCI,10,0.037519749
TwistedObjectsDataset,0008,RICI,10,0.037289739
